"","Participant","Task","SummaryFor","Fixed_Bug","Method_Cov","Branch_Cov","Statement_Cov","Mutation_Cov","Programming_Exp","diffTests","diffAsserts","editDist"
"1","Participant01","Rational","ArrayIntList",2,1,0.85,0.972972973,0.4927536232,"7-10 years",1,1,2
"2","Participant01","ArrayIntList","ArrayIntList",5,0.8571428571,0.8181818182,0.8484848485,0.453125,"7-10 years",0,11,762
"3","Participant02","Rational","ArrayIntList",3,1,0.9,1,0.6956521739,"3-6 years",7,12,730
"4","Participant02","ArrayIntList","ArrayIntList",5,0.8571428571,0.7727272727,0.8484848485,0.4375,"3-6 years",12,13,2413
"5","Participant03","Rational","Rational",5,0.9473684211,0.85,0.972972973,0.7246376812,"7-10 years",7,13,1113
"6","Participant03","ArrayIntList","Rational",1,0.6428571429,0.6363636364,0.6515151515,0.2734375,"7-10 years",2,1,200
"7","Participant04","Rational","Rational",3,0.9473684211,0.85,0.972972973,0.7173913043,"3-6 years",8,10,1553
"8","Participant04","ArrayIntList","Rational",3,0.7857142857,0.7727272727,0.7878787879,0.515625,"3-6 years",4,9,1124
"9","Participant05","Rational","ArrayIntList",3,0.9473684211,0.85,0.972972973,0.4782608696,"3-6 years",1,3,5
"10","Participant05","ArrayIntList","ArrayIntList",3,0.6428571429,0.6818181818,0.6515151515,0.1875,"3-6 years",0,0,0
"11","Participant06","Rational","Rational",3,0.9473684211,0.85,0.972972973,0.5869565217,"7-10 years",3,3,92
"12","Participant06","ArrayIntList","Rational",3,0.6428571429,0.6818181818,0.6515151515,0.3046875,"7-10 years",2,2,154
"13","Participant07","Rational","Rational",4,0.8947368421,0.85,0.9459459459,0.8188405797,"3-6 years",5,6,92
"14","Participant07","ArrayIntList","Rational",3,0.7857142857,0.6818181818,0.7878787879,0.375,"3-6 years",4,3,370
"15","Participant08","Rational","ArrayIntList",2,0.9473684211,0.85,0.972972973,0.4130434783,"3-6 years",2,1,42
"16","Participant08","ArrayIntList","ArrayIntList",5,0.6428571429,0.6818181818,0.6515151515,0.3046875,"3-6 years",3,0,273
"17","Participant09","Rational","ArrayIntList",2,0.9473684211,0.85,0.972972973,0.6231884058,"3-6 years",19,15,2858
"18","Participant09","ArrayIntList","ArrayIntList",4,0.5714285714,0.6363636364,0.6060606061,0.2578125,"3-6 years",4,2,177
"19","Participant10","Rational","ArrayIntList",5,0.9473684211,0.85,0.972972973,0.8188405797,"3-6 years",8,13,1031
"20","Participant10","ArrayIntList","ArrayIntList",4,0.7857142857,0.7727272727,0.8333333333,0.453125,"3-6 years",6,24,2297
"21","Participant11","Rational","ArrayIntList",3,0.9473684211,0.85,0.972972973,0.4855072464,"1-2 years",6,10,308
"22","Participant11","ArrayIntList","ArrayIntList",3,0.6428571429,0.6818181818,0.6666666667,0.2578125,"1-2 years",2,3,534
"23","Participant12","Rational","Rational",4,1,0.9,1,0.5217391304,"3-6 years",3,2,470
"24","Participant12","ArrayIntList","Rational",3,0.5714285714,0.6363636364,0.6363636364,0.2578125,"3-6 years",4,18,1066
"25","Participant13","Rational","ArrayIntList",4,0.9473684211,0.85,0.972972973,0.5289855072,"3-6 years",4,8,119
"26","Participant13","ArrayIntList","ArrayIntList",2,0.7142857143,0.6818181818,0.6818181818,0.3671875,"3-6 years",7,5,545
"27","Participant14","Rational","Rational",5,0.9473684211,0.85,0.972972973,0.731884058,"3-6 years",8,12,1692
"28","Participant14","ArrayIntList","Rational",1,0.6428571429,0.6818181818,0.6666666667,0.25,"3-6 years",7,7,723
"29","Participant15","Rational","ArrayIntList",2,1,0.9,1,0.5362318841,"7-10 years",2,3,15
"30","Participant15","ArrayIntList","ArrayIntList",3,0.5,0.6363636364,0.6363636364,0.265625,"7-10 years",5,4,52
"31","Participant16","Rational","ArrayIntList",4,0.8947368421,0.85,0.9459459459,0.8333333333,">10 years",4,8,177
"32","Participant16","ArrayIntList","ArrayIntList",3,0.3571428571,0.5454545455,0.5151515152,0.125,">10 years",7,8,98
"33","Participant17","Rational","ArrayIntList",2,0.9473684211,0.85,0.972972973,0.7826086957,"7-10 years",4,12,1058
"34","Participant17","ArrayIntList","ArrayIntList",3,0.5,0.6363636364,0.6363636364,0.21875,"7-10 years",3,0,278
"35","Participant18","Rational","Rational",3,0.9473684211,0.85,0.972972973,0.7246376812,"3-6 years",4,5,81
"36","Participant18","ArrayIntList","Rational",2,0.7753623188,0.6818181818,0.6515151515,0.3125,"3-6 years",5,3,202
"37","Participant19","Rational","ArrayIntList",1,0.9473684211,0.85,0.972972973,0.4710144928,"7-10 years",0,0,0
"38","Participant19","ArrayIntList","ArrayIntList",5,0.5714285714,0.5909090909,0.6515151515,0.1796875,"7-10 years",0,0,0
"39","Participant20","Rational","Rational",5,0.9473684211,0.85,0.972972973,0.9057971014,"3-6 years",7,9,125
"40","Participant20","ArrayIntList","Rational",4,0.8571428571,0.8181818182,0.8484848485,0.4609375,"3-6 years",7,16,1269
"41","Participant21","Rational","ArrayIntList",2,0.9473684211,0.85,0.972972973,0.5724637681,"3-6 years",3,7,75
"42","Participant21","ArrayIntList","ArrayIntList",0,0.6428571429,0.6818181818,0.6515151515,0.3046875,"3-6 years",1,1,40
"43","Participant22","Rational","Rational",4,0.9473684211,0.85,0.972972973,0.7028985507,"3-6 years",5,6,60
"44","Participant22","ArrayIntList","Rational",0,0.5714285714,0.6363636364,0.6212121212,0.125,"3-6 years",0,0,0
"45","Participant23","Rational","ArrayIntList",4,0.8947368421,0.85,0.9189189189,0.3115942029,"3-6 years",7,7,489
"46","Participant23","ArrayIntList","ArrayIntList",2,0.6428571429,0.6818181818,0.6515151515,0.25,"3-6 years",3,0,270
"47","Participant24","Rational","Rational",1,0.9473684211,0.85,0.972972973,0.6231884058,"3-6 years",1,1,10
"48","Participant24","ArrayIntList","Rational",0,0.5,0.5909090909,0.6060606061,0.2265625,"3-6 years",2,2,106
"49","Participant25","Rational","ArrayIntList",2,1,0.9,1,0.6231884058,"7-10 years",3,5,76
"50","Participant25","ArrayIntList","ArrayIntList",5,0.5,0.6363636364,0.6363636364,0.25,"7-10 years",4,4,108
"51","Participant26","Rational","Rational",4,0.8947368421,0.85,0.9189189189,0.6884057971,"3-6 years",5,5,229
"52","Participant26","ArrayIntList","Rational",2,0.5714285714,0.6818181818,0.6515151515,0.3046875,"3-6 years",3,0,201
"53","Participant27","Rational","ArrayIntList",2,0.9473684211,0.85,0.972972973,0.8333333333,"3-6 years",10,14,404
"54","Participant27","ArrayIntList","ArrayIntList",3,0.6428571429,0.6818181818,0.6666666667,0.3125,"3-6 years",4,5,265
"55","Participant28","Rational","Rational",5,1,0.9,1,0.9275362319,"3-6 years",7,15,609
"56","Participant28","ArrayIntList","Rational",0,0.5714285714,0.6818181818,0.6515151515,0.1953125,"3-6 years",0,0,0
"57","Participant29","Rational","ArrayIntList",3,0.8947368421,0.85,0.9459459459,0.8913043478,"3-6 years",12,23,2366
"58","Participant29","ArrayIntList","ArrayIntList",1,0.5714285714,0.6818181818,0.6515151515,0.2421875,"3-6 years",6,4,473
"59","Participant30","Rational","Rational",4,0.9473684211,0.85,0.972972973,0.6086956522,"7-10 years",6,9,329
"60","Participant30","ArrayIntList","Rational",2,0.5,0.5909090909,0.6212121212,0.265625,"7-10 years",1,0,354
